Instruction_KeyP.keys,Instruction_KeyP.rt,Instruction2_KeyP.keys,Instruction2_KeyP.rt,Choice1.keys,Choice1.rt,Ex_Step1.thisRepN,Ex_Step1.thisTrialN,Ex_Step1.thisN,Ex_Step1.thisIndex,Ex_Step1.ran,email,date,expName,psychopyVersion,OS,frameRate,InstrStep2KResp.keys,InstrStep2KResp.rt,Choice2Entr.keys,Choice2Entr.rt,Step2Training.thisRepN,Step2Training.thisTrialN,Step2Training.thisN,Step2Training.thisIndex,Step2Training.ran,Ntrial,PChoice21,PChoice22,WallPaperColor,InstrTotKR.keys,InstrTotKR.rt,Transition,Choice2.keys,Choice2.rt,Reward,TrainingTot.thisRepN,TrainingTot.thisTrialN,TrainingTot.thisN,TrainingTot.thisIndex,TrainingTot.ran,Walk21,Walk22,Walk23,PChoice23,Walk24,PChoice24,Question.thisRepN,Question.thisTrialN,Question.thisN,Question.thisIndex,Question.ran,RepriseTacheKR.keys,RepriseTacheKR.rt,CravingKR.keys,CravingKR.corr,CravingKR.rt,ResistKR.keys,ResistKR.corr,ResistKR.rt,StressKR.keys,StressKR.corr,StressKR.rt,LoopVideoG.thisRepN,LoopVideoG.thisTrialN,LoopVideoG.thisN,LoopVideoG.thisIndex,LoopVideoG.ran,Video,VraieTacheKR.keys,VraieTacheKR.rt,Task1.thisRepN,Task1.thisTrialN,Task1.thisN,Task1.thisIndex,Task1.ran,FinTache1KR.keys,FinTache1KR.rt,FinSession1KR.keys,FinSession1KR.rt
,,,,i,0.370695,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,7,0.49,0.55,,,,1,e,1.2011,0,0,7,7,6,1,0,0.04,0.03,0.48,-0.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,0.9371,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,5,0.52,0.48,,,,1,e,0.886525,1,0,8,8,4,1,-0.03,0.06,-0.04,0.43,-0.03,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,0.963395,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,10,0.52,0.55,,,,1,e,1.249655,1,0,9,9,9,1,0.07,0.01,-0.01,0.47,-0.01,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,10.65495,1,0,11.629175,9,0,7.182425,2,0,3.29467,0,0,0,0,1,VG1.mp4,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,VG2.mp4,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,VG3.mp4,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,1,VG5.mp4,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,1,VG8.mp4,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,6,1,VG7.mp4,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,5,1,VG6.mp4,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,9,1,VG10.mp4,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,1,VG4.mp4,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,8,1,VG9.mp4,,,,,,,,,,,
,,,,i,3.076945,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,196,0.39,0.74,,,,1,e,2.46556,1,,,,,,-0.02,0.01,0,0.26,-0.01,0.25,,,,,,,,1,0,15.47931,9,0,1.273285,2,0,2.78003,,,,,,,space,3.118525,0,0,0,195,1,,,,
,,,,i,1.74011,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,45,0.72,0.65,,,,1,e,0.43016,1,,,,,,0.03,0.03,0.01,0.6,0.04,0.73,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,44,1,,,,
,,,,i,2.845795,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,43,0.71,0.61,,,,0,e,2.31877,1,,,,,,-0.01,-0.03,-0.02,0.57,0.05,0.69,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,42,1,,,,
,,,,i,0.441485,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,127,0.67,0.72,,,,0,e,0.95026,1,,,,,,0.01,0,0.02,0.41,-0.01,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,126,1,,,,
,,,,i,0.4549,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,85,0.74,0.49,,,,0,e,0.805185,1,,,,,,0.05,-0.01,0.01,0.34,-0.01,0.46,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,84,1,,,,
,,,,i,0.6395,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,60,0.61,0.55,,,,1,e,2.20261,1,,,,,,0.01,0,-0.03,0.51,0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,59,1,,,,
,,,,i,0.888665,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,181,0.4,0.69,,,,1,e,1.22645,1,,,,,,-0.01,0.04,-0.02,0.4,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,180,1,,,,
,,,,i,0.38182,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,22,0.67,0.57,,,,0,e,0.74893,0,,,,,,0.03,0.01,0.01,0.55,-0.01,0.68,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,21,1,,,,
,,,,i,0.88978,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,141,0.7,0.7,,,,1,e,0.617035,0,,,,,,0,-0.02,0.02,0.52,-0.01,0.26,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,140,1,,,,
,,,,e,0.772485,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,14,0.67,0.67,,,,1,e,1.536035,1,,,,,,-0.01,0.01,-0.01,0.62,0.02,0.71,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,13,1,,,,
,,,,e,0.52477,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,74,0.75,0.51,,,,1,e,1.15201,1,,,,,,0.01,-0.03,-0.04,0.44,-0.02,0.49,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,73,1,,,,
,,,,e,0.738175,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,70,0.66,0.51,,,,0,e,0.799585,0,,,,,,0.04,0.01,-0.03,0.52,0.02,0.46,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,69,1,,,,
,,,,e,0.7743,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,78,0.74,0.54,,,,1,i,0.55313,1,,,,,,0.04,0.01,-0.03,0.42,-0.02,0.52,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,77,1,,,,
,,,,e,1.560215,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,31,0.73,0.62,,,,1,i,0.451615,1,,,,,,0.02,0,-0.03,0.61,-0.01,0.69,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,30,1,,,,
,,,,e,0.521895,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,72,0.74,0.53,,,,1,i,0.59859,0,,,,,,0.05,0.01,0,0.51,-0.02,0.47,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,71,1,,,,
